hardness_metric,Balanced Accuracy,F1 Score,Precision,Recall,Specificity
feature_CB,-0.00 ± 0.01,-0.00 ± 0.01,-0.00 ± 0.01,-0.00 ± 0.01,-0.00 ± 0.02
feature_CL,-0.01 ± 0.02,-0.01 ± 0.02,-0.02 ± 0.02,0.00 ± 0.02,-0.02 ± 0.03
feature_CLD,-0.01 ± 0.02,-0.00 ± 0.02,-0.01 ± 0.03,0.00 ± 0.02,-0.01 ± 0.03
feature_DCP,-0.00 ± 0.01,-0.00 ± 0.01,-0.01 ± 0.02,0.01 ± 0.01,-0.01 ± 0.02
feature_DS,0.00 ± 0.01,0.00 ± 0.01,-0.00 ± 0.02,0.01 ± 0.01,-0.01 ± 0.02
feature_F1,-0.00 ± 0.01,0.00 ± 0.01,-0.00 ± 0.02,0.00 ± 0.02,-0.01 ± 0.02
feature_F2,0.00 ± 0.01,0.00 ± 0.01,0.00 ± 0.02,0.00 ± 0.01,0.00 ± 0.02
feature_F3,0.00 ± 0.01,0.00 ± 0.01,0.01 ± 0.02,-0.00 ± 0.01,0.01 ± 0.02
feature_F4,0.00 ± 0.01,0.00 ± 0.01,0.00 ± 0.02,0.00 ± 0.01,0.00 ± 0.02
feature_Harmfulness,-0.01 ± 0.02,-0.01 ± 0.02,-0.01 ± 0.02,0.00 ± 0.02,-0.02 ± 0.03
feature_LSC,0.00 ± 0.02,0.00 ± 0.02,0.00 ± 0.02,0.01 ± 0.02,-0.00 ± 0.02
feature_LSR,-0.00 ± 0.01,-0.00 ± 0.01,-0.00 ± 0.02,0.00 ± 0.01,-0.00 ± 0.02
feature_MV,-0.00 ± 0.01,-0.00 ± 0.01,-0.00 ± 0.02,-0.00 ± 0.01,-0.00 ± 0.02
feature_N1,-0.00 ± 0.02,-0.00 ± 0.02,-0.01 ± 0.02,0.00 ± 0.02,-0.01 ± 0.02
feature_N2,0.00 ± 0.01,0.00 ± 0.01,0.00 ± 0.02,0.00 ± 0.01,0.00 ± 0.02
feature_TD_P,-0.00 ± 0.01,0.00 ± 0.01,-0.00 ± 0.02,0.00 ± 0.02,-0.00 ± 0.02
feature_TD_U,-0.00 ± 0.01,-0.00 ± 0.01,-0.01 ± 0.01,-0.00 ± 0.01,-0.01 ± 0.02
feature_kDN,-0.00 ± 0.02,-0.00 ± 0.02,-0.01 ± 0.03,0.00 ± 0.01,-0.01 ± 0.03
