hardness_metric,Balanced Accuracy,F1 Score,Precision,Recall,Specificity
feature_CB,0.02 ± 0.04,0.04 ± 0.07,0.07 ± 0.09,0.01 ± 0.05,0.03 ± 0.06
feature_CL,0.01 ± 0.04,0.03 ± 0.06,0.06 ± 0.09,-0.00 ± 0.05,0.03 ± 0.05
feature_CLD,0.00 ± 0.03,0.02 ± 0.05,0.05 ± 0.07,-0.01 ± 0.04,0.02 ± 0.04
feature_DCP,-0.02 ± 0.06,-0.02 ± 0.08,0.01 ± 0.09,-0.05 ± 0.11,0.00 ± 0.05
feature_DS,0.01 ± 0.03,0.02 ± 0.04,0.05 ± 0.06,0.00 ± 0.05,0.02 ± 0.02
feature_F1,0.00 ± 0.03,0.00 ± 0.05,0.02 ± 0.08,0.02 ± 0.03,-0.02 ± 0.03
feature_F2,0.01 ± 0.03,0.02 ± 0.06,0.05 ± 0.08,-0.00 ± 0.05,0.02 ± 0.06
feature_F3,0.01 ± 0.02,0.02 ± 0.03,0.05 ± 0.06,0.00 ± 0.04,0.01 ± 0.02
feature_F4,-0.00 ± 0.02,-0.00 ± 0.04,0.02 ± 0.08,0.00 ± 0.04,-0.00 ± 0.03
feature_Harmfulness,-0.01 ± 0.04,0.00 ± 0.06,0.04 ± 0.09,-0.02 ± 0.05,0.01 ± 0.05
feature_LSC,0.01 ± 0.02,0.02 ± 0.04,0.06 ± 0.08,0.00 ± 0.04,0.01 ± 0.02
feature_LSR,-0.01 ± 0.02,-0.02 ± 0.04,-0.01 ± 0.07,-0.00 ± 0.04,-0.02 ± 0.03
feature_MV,0.01 ± 0.04,0.01 ± 0.06,0.06 ± 0.09,-0.01 ± 0.07,0.02 ± 0.06
feature_N1,0.01 ± 0.03,0.02 ± 0.06,0.04 ± 0.09,0.01 ± 0.05,0.00 ± 0.03
feature_N2,0.01 ± 0.02,0.01 ± 0.05,0.04 ± 0.08,0.00 ± 0.05,0.01 ± 0.06
feature_TD_P,-0.00 ± 0.02,-0.01 ± 0.04,0.02 ± 0.07,-0.00 ± 0.04,-0.01 ± 0.03
feature_TD_U,-0.01 ± 0.03,-0.01 ± 0.05,0.02 ± 0.10,-0.02 ± 0.05,-0.00 ± 0.03
feature_kDN,0.01 ± 0.03,0.02 ± 0.05,0.07 ± 0.07,-0.01 ± 0.04,0.03 ± 0.04
