dataset,Classifier,weighting_strategy,hardness_metric,metric,gain_index,gain_disparity,n_runs,wins,win_rate
BCWDD,GaussianNB,curriculum,feature_CB,Balanced Accuracy,-0.00727513227513225,0.015507108581605046,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_CB,F1 Score,-0.006098577740274003,0.018679877100852595,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_CB,Precision,0.012067416014784485,0.011679678720942516,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_CB,Recall,-0.023809523809523836,0.023809523809523836,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_CB,Specificity,0.009259259259259264,0.008018753738744807,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_CL,Balanced Accuracy,0.007275132275132286,0.015507108581605191,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_CL,F1 Score,0.005239195843163828,0.018653417779189583,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_CL,Precision,-0.011466699135637063,0.015492885130937882,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_CL,Recall,0.023809523809523798,0.023809523809523836,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_CL,Specificity,-0.0092592592592593,0.008018753738744838,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_CLD,Balanced Accuracy,0.011243386243386241,0.010882594359725306,3,3,1.0
BCWDD,GaussianNB,curriculum,feature_CLD,F1 Score,0.00944650125528849,0.013793925892231072,3,3,1.0
BCWDD,GaussianNB,curriculum,feature_CLD,Precision,-0.011079552407026924,0.015039195738089758,3,1,0.3333333333333333
BCWDD,GaussianNB,curriculum,feature_CLD,Recall,0.031746031746031744,0.013746434980705423,3,3,1.0
BCWDD,GaussianNB,curriculum,feature_CLD,Specificity,-0.0092592592592593,0.008018753738744838,3,0,0.0
BCWDD,GaussianNB,curriculum,feature_DCP,Balanced Accuracy,0.008928571428571433,0.013346849253049546,3,2,0.6666666666666666
BCWDD,GaussianNB,curriculum,feature_DCP,F1 Score,0.0057116739910494,0.01802634215546147,3,2,0.6666666666666666
